epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,22149.5,0.74044,0.89048,1.01475,0.6756,0.59818,0.63289,0.38148,1.15965,1.65347,1.32703,0.002872,0.002872,0.002872
110,22352.8,0.73978,0.88905,1.01234,0.67288,0.63434,0.59623,0.36255,1.15195,1.6882,1.33624,0.002806,0.002806,0.002806
111,22555.8,0.7358,0.87745,1.00933,0.67549,0.55949,0.57724,0.36163,1.15562,1.68533,1.33171,0.00274,0.00274,0.00274
112,22758.8,0.72615,0.88702,1.00991,0.66111,0.56997,0.56646,0.3619,1.15567,1.67509,1.34198,0.002674,0.002674,0.002674
113,22961.9,0.73231,0.86988,1.01638,0.6501,0.63095,0.59837,0.37469,1.14701,1.70711,1.33008,0.002608,0.002608,0.002608
114,23165.1,0.73119,0.86876,1.01341,0.66322,0.65136,0.61012,0.37465,1.15007,1.71548,1.33238,0.002542,0.002542,0.002542
115,23368.3,0.71891,0.86906,1.00586,0.67273,0.63334,0.60049,0.36374,1.16851,1.64533,1.36114,0.002476,0.002476,0.002476
116,23571.3,0.7124,0.8528,0.99895,0.70171,0.6121,0.60261,0.37176,1.15703,1.67221,1.33644,0.00241,0.00241,0.00241
117,23774.5,0.71728,0.86017,1.0033,0.67128,0.62945,0.58775,0.36259,1.1586,1.715,1.34187,0.002344,0.002344,0.002344
118,23977.7,0.70862,0.84283,0.99854,0.64684,0.61385,0.57512,0.3534,1.1509,1.71497,1.33307,0.002278,0.002278,0.002278
119,24180.7,0.71321,0.85237,0.99934,0.67444,0.60674,0.60654,0.38504,1.14532,1.61695,1.32809,0.002212,0.002212,0.002212
120,24383.9,0.70793,0.83084,1.00129,0.68558,0.65915,0.59525,0.35907,1.15571,1.68367,1.33334,0.002146,0.002146,0.002146
121,24586.8,0.6976,0.80987,1.00068,0.68788,0.60828,0.58559,0.35424,1.14788,1.70367,1.33593,0.00208,0.00208,0.00208
122,24789.8,0.69317,0.89162,1.0045,0.66553,0.64531,0.59121,0.37022,1.14673,1.71659,1.3458,0.002014,0.002014,0.002014
123,24992.9,0.69116,0.81009,0.99798,0.6315,0.61742,0.587,0.36144,1.14283,1.71987,1.33293,0.001948,0.001948,0.001948
